"TimeStamp_1","YYYY","MM","DD","hh","mm","WDIR","WSPD","rWSPD","Fetch","SWHft"
"2004-11-04 11:00:00",2004,11,4,11,0,310,7.7,7.7,14484.06,1.97471854659037
"2004-11-04 12:00:00",2004,11,4,12,0,10,7.7,7.7,14484.06,1.93655985387303
"2004-11-04 13:00:00",2004,11,4,13,0,190,10.8,7.7,14484.06,1.97353047600677
"2004-11-04 14:00:00",2004,11,4,14,0,360,5.1,10.8,14484.06,3.27860886442403
"2004-11-04 15:00:00",2004,11,4,15,0,340,13.4,5.1,14484.06,0.704582023974138
"2004-11-04 16:00:00",2004,11,4,16,0,30,11.3,13.4,14484.06,3.26412075229206
"2004-11-04 17:00:00",2004,11,4,17,0,70,9.8,11.3,14484.06,3.26817861708483
"2004-11-04 18:00:00",2004,11,4,18,0,320,4.6,9.8,14484.06,3.29912449212553
"2004-11-04 19:00:00",2004,11,4,19,0,320,4.6,4.6,14484.06,0.651899313494893
"2004-11-04 20:00:00",2004,11,4,20,0,300,10.8,4.6,14484.06,0.61330708008001
"2004-11-04 21:00:00",2004,11,4,21,0,320,10.8,10.8,14484.06,3.31789069189787
"2004-11-04 22:00:00",2004,11,4,22,0,240,6.2,10.8,14484.06,3.26033328475791
"2004-11-04 23:00:00",2004,11,4,23,0,100,9.8,6.2,14484.06,1.96250004268436
"2004-11-05",2004,11,5,0,0,190,10.8,9.8,14484.06,3.28713155476326
"2004-11-05 01:00:00",2004,11,5,1,0,310,8.8,10.8,14484.06,3.26024570789888
"2004-11-05 02:00:00",2004,11,5,2,0,300,2.1,8.8,14484.06,3.26457745451207
"2004-11-05 03:00:00",2004,11,5,3,0,360,9.8,2.1,14484.06,0.319149573640338
"2004-11-05 04:00:00",2004,11,5,4,0,20,9.3,9.8,14484.06,3.1959157448117
"2004-11-05 05:00:00",2004,11,5,5,0,170,3.6,9.3,14484.06,3.29868426269447
"2004-11-05 06:00:00",2004,11,5,6,0,310,8.2,3.6,14484.06,0.663515099762095
"2004-11-05 07:00:00",2004,11,5,7,0,260,7.2,8.2,14484.06,2.00319444366749
"2004-11-05 08:00:00",2004,11,5,8,0,60,10.3,7.2,14484.06,1.95075705888064
"2004-11-05 09:00:00",2004,11,5,9,0,40,5.1,10.3,14484.06,3.30142346035193
"2004-11-05 10:00:00",2004,11,5,10,0,110,2.6,5.1,14484.06,0.665739348343237
"2004-11-05 11:00:00",2004,11,5,11,0,350,10.8,2.6,14484.06,0.329039449384763
"2004-11-05 12:00:00",2004,11,5,12,0,360,8.2,10.8,14484.06,3.31790844713105
"2004-11-05 13:00:00",2004,11,5,13,0,190,3.1,8.2,14484.06,1.93023249635853
"2004-11-05 14:00:00",2004,11,5,14,0,220,0.5,3.1,14484.06,0.349577384486902
"2004-11-05 15:00:00",2004,11,5,15,0,10,4.1,0.5,14484.06,0.29689547196358
"2004-11-05 16:00:00",2004,11,5,16,0,320,4.6,4.1,14484.06,0.626069707508028
"2004-11-05 17:00:00",2004,11,5,17,0,310,12.9,4.6,14484.06,0.680054583289667
"2004-11-05 18:00:00",2004,11,5,18,0,260,9.3,12.9,14484.06,3.2871321528969
"2004-11-05 19:00:00",2004,11,5,19,0,320,4.6,9.3,14484.06,3.29997991389149
"2004-11-05 20:00:00",2004,11,5,20,0,30,9.3,4.6,14484.06,0.603314329911983
"2004-11-05 21:00:00",2004,11,5,21,0,360,1.5,9.3,14484.06,3.32625764653283
"2004-11-05 22:00:00",2004,11,5,22,0,300,11.8,1.5,14484.06,0.347390103061459
"2004-11-05 23:00:00",2004,11,5,23,0,260,6.2,11.8,14484.06,3.2657919284919
"2004-11-06",2004,11,6,0,0,320,11.3,6.2,14484.06,1.94842620669615
"2004-11-06 01:00:00",2004,11,6,1,0,20,9.3,11.3,14484.06,3.32048829825045
"2004-11-06 02:00:00",2004,11,6,2,0,250,8.8,9.3,14484.06,3.26879646995852
"2004-11-06 03:00:00",2004,11,6,3,0,330,9.3,8.8,14484.06,3.28064011977247
"2004-11-06 04:00:00",2004,11,6,4,0,110,8.8,9.3,14484.06,3.2964662223919
"2004-11-06 05:00:00",2004,11,6,5,0,330,12.4,8.8,14484.06,3.26364622638594
"2004-11-06 06:00:00",2004,11,6,6,0,90,1,12.4,14484.06,3.27249731113251
"2004-11-06 07:00:00",2004,11,6,7,0,210,5.7,1,14484.06,0.358336327519386
"2004-11-06 08:00:00",2004,11,6,8,0,50,5.7,5.7,14484.06,2.01494192661587
"2004-11-06 09:00:00",2004,11,6,9,0,120,5.1,5.7,14484.06,1.92831511080272
"2004-11-06 10:00:00",2004,11,6,10,0,170,1.5,5.1,14484.06,0.698099402556985
"2004-11-06 11:00:00",2004,11,6,11,0,240,11.8,1.5,14484.06,0.383991559742032
"2004-11-06 12:00:00",2004,11,6,12,0,20,5.1,11.8,14484.06,3.30620415253755
"2004-11-06 13:00:00",2004,11,6,13,0,90,9.8,5.1,14484.06,0.684195512399583
"2004-11-06 14:00:00",2004,11,6,14,0,250,3.1,9.8,14484.06,3.29779153897224
"2004-11-06 15:00:00",2004,11,6,15,0,340,3.1,3.1,14484.06,0.354850699433376
"2004-11-06 16:00:00",2004,11,6,16,0,280,3.1,3.1,14484.06,0.316073266730873
"2004-11-06 17:00:00",2004,11,6,17,0,190,2.1,3.1,14484.06,0.277406443789145
"2004-11-06 18:00:00",2004,11,6,18,0,350,7.2,2.1,14484.06,0.376045651341889
"2004-11-06 19:00:00",2004,11,6,19,0,120,13.4,7.2,14484.06,1.92880955393228
"2004-11-06 20:00:00",2004,11,6,20,0,0,0.25,13.4,14484.06,3.30981539624394
"2004-11-06 21:00:00",2004,11,6,21,0,120,3.1,0.25,14484.06,0.322639058270268
"2004-11-06 22:00:00",2004,11,6,22,0,360,3.6,3.1,14484.06,0.286591872985037
"2004-11-06 23:00:00",2004,11,6,23,0,350,10.3,3.6,14484.06,0.610221250905186
"2004-11-07",2004,11,7,0,0,160,2.1,10.3,14484.06,3.31745592290669
"2004-11-07 01:00:00",2004,11,7,1,0,90,0.5,2.1,14484.06,0.323283611691795
"2004-11-07 02:00:00",2004,11,7,2,0,350,8.2,0.5,14484.06,0.372642214085398
"2004-11-07 03:00:00",2004,11,7,3,0,360,5.1,8.2,14484.06,1.99314205285728
"2004-11-07 04:00:00",2004,11,7,4,0,340,7.2,5.1,14484.06,0.667510637313066
"2004-11-07 05:00:00",2004,11,7,5,0,220,3.1,7.2,14484.06,1.97637996004404
"2004-11-07 06:00:00",2004,11,7,6,0,280,2.1,3.1,14484.06,0.383149685342197
"2004-11-07 07:00:00",2004,11,7,7,0,40,4.1,2.1,14484.06,0.360899578574612
"2004-11-07 08:00:00",2004,11,7,8,0,70,5.7,4.1,14484.06,0.611853027264996
"2004-11-07 09:00:00",2004,11,7,9,0,80,9.8,5.7,14484.06,2.01445461823048
"2004-11-07 10:00:00",2004,11,7,10,0,260,6.7,9.8,14484.06,3.25159537474386
"2004-11-07 11:00:00",2004,11,7,11,0,180,4.1,6.7,14484.06,1.97484669207981
"2004-11-07 12:00:00",2004,11,7,12,0,310,5.1,4.1,14484.06,0.678103609179631
"2004-11-07 13:00:00",2004,11,7,13,0,110,3.6,5.1,14484.06,0.61759571757145
"2004-11-07 14:00:00",2004,11,7,14,0,310,12.9,3.6,14484.06,0.628595305803604
"2004-11-07 15:00:00",2004,11,7,15,0,90,7.7,12.9,14484.06,3.31738152887283
"2004-11-07 16:00:00",2004,11,7,16,0,280,2.1,7.7,14484.06,1.99634546126369
"2004-11-07 17:00:00",2004,11,7,17,0,110,11.3,2.1,14484.06,0.32896141914371
"2004-11-07 18:00:00",2004,11,7,18,0,340,8.2,11.3,14484.06,3.29605923551315
"2004-11-07 19:00:00",2004,11,7,19,0,290,3.6,8.2,14484.06,2.00702173568513
"2004-11-07 20:00:00",2004,11,7,20,0,350,11.3,3.6,14484.06,0.682662807589432
"2004-11-07 21:00:00",2004,11,7,21,0,280,1,11.3,14484.06,3.2999480024399
"2004-11-07 22:00:00",2004,11,7,22,0,360,8.2,1,14484.06,0.333769511892165
"2004-11-07 23:00:00",2004,11,7,23,0,40,5.1,8.2,14484.06,2.00784143887991
"2004-11-08",2004,11,8,0,0,70,2.1,5.1,14484.06,0.659921737063882
"2004-11-08 01:00:00",2004,11,8,1,0,310,7.2,2.1,14484.06,0.320854446169433
"2004-11-08 02:00:00",2004,11,8,2,0,310,4.6,7.2,14484.06,1.95047345380019
"2004-11-08 03:00:00",2004,11,8,3,0,350,13.4,4.6,14484.06,0.639025947270117
"2004-11-08 04:00:00",2004,11,8,4,0,40,10.8,13.4,14484.06,3.26353202110434
"2004-11-08 05:00:00",2004,11,8,5,0,360,5.7,10.8,14484.06,3.28249856127085
"2004-11-08 06:00:00",2004,11,8,6,0,30,4.6,5.7,14484.06,1.93494919905256
"2004-11-08 07:00:00",2004,11,8,7,0,360,9.3,4.6,14484.06,0.64781715936178
"2004-11-08 08:00:00",2004,11,8,8,0,100,4.1,9.3,14484.06,3.25243086199135
"2004-11-08 09:00:00",2004,11,8,9,0,280,0.5,4.1,14484.06,0.613034025332226
"2004-11-08 10:00:00",2004,11,8,10,0,140,2.1,0.5,14484.06,0.358071788118012
"2004-11-08 11:00:00",2004,11,8,11,0,20,6.2,2.1,14484.06,0.35803495502441
"2004-11-08 12:00:00",2004,11,8,12,0,240,0.5,6.2,14484.06,1.98308836702952
"2004-11-08 13:00:00",2004,11,8,13,0,210,11.8,0.5,14484.06,0.338830811998912
"2004-11-08 14:00:00",2004,11,8,14,0,280,9.3,11.8,14484.06,3.25267347630895
"2004-11-08 15:00:00",2004,11,8,15,0,320,10.3,9.3,14484.06,3.23670959042155
"2004-11-08 16:00:00",2004,11,8,16,0,260,2.6,10.3,14484.06,3.26372584841696
"2004-11-08 17:00:00",2004,11,8,17,0,150,9.3,2.6,14484.06,0.343716281373421
"2004-11-08 18:00:00",2004,11,8,18,0,310,9.8,9.3,14484.06,3.25894077940415
"2004-11-08 19:00:00",2004,11,8,19,0,260,0.5,9.8,14484.06,3.21526018691819
"2004-11-08 20:00:00",2004,11,8,20,0,20,10.8,0.5,14484.06,0.331869099043249
"2004-11-08 21:00:00",2004,11,8,21,0,270,3.1,10.8,14484.06,3.28006945572267
"2004-11-08 22:00:00",2004,11,8,22,0,350,10.3,3.1,14484.06,0.357657826802252
"2004-11-08 23:00:00",2004,11,8,23,0,40,4.1,10.3,14484.06,3.23033612381493
"2004-11-09",2004,11,9,0,0,300,11.3,4.1,14484.06,0.659323751936088
"2004-11-09 01:00:00",2004,11,9,1,0,320,4.6,11.3,14484.06,3.24966193849678
"2004-11-09 02:00:00",2004,11,9,2,0,320,6.7,4.6,14484.06,0.666193687224542
"2004-11-09 03:00:00",2004,11,9,3,0,340,2.6,6.7,14484.06,1.96954570583902
"2004-11-09 04:00:00",2004,11,9,4,0,20,5.1,2.6,14484.06,0.2929545977696
"2004-11-09 05:00:00",2004,11,9,5,0,270,0.5,5.1,14484.06,0.635522990260984
"2004-11-09 06:00:00",2004,11,9,6,0,130,2.1,0.5,14484.06,0.31970879685083
"2004-11-09 07:00:00",2004,11,9,7,0,250,8.8,2.1,14484.06,0.314399088823398
"2004-11-09 08:00:00",2004,11,9,8,0,320,10.3,8.8,14484.06,3.27330497378576
"2004-11-09 09:00:00",2004,11,9,9,0,300,9.8,10.3,14484.06,3.274239467898
"2004-11-09 10:00:00",2004,11,9,10,0,90,3.6,9.8,14484.06,3.27278936781866
"2004-11-09 11:00:00",2004,11,9,11,0,250,1.5,3.6,14484.06,0.710202099680533
"2004-11-09 12:00:00",2004,11,9,12,0,350,9.3,1.5,14484.06,0.332211675028469
"2004-11-09 13:00:00",2004,11,9,13,0,70,5.7,9.3,14484.06,3.27964208535467
"2004-11-09 14:00:00",2004,11,9,14,0,70,1.5,5.7,14484.06,1.97757519723821
"2004-11-09 15:00:00",2004,11,9,15,0,270,8.8,1.5,14484.06,0.352822328437337
"2004-11-09 16:00:00",2004,11,9,16,0,10,7.7,8.8,16093.4,3.31212328068143
"2004-11-09 17:00:00",2004,11,9,17,0,50,11.8,7.7,16093.4,1.99292725438686
"2004-11-09 18:00:00",2004,11,9,18,0,190,9.3,11.8,16093.4,3.32461308255737
"2004-11-09 19:00:00",2004,11,9,19,0,130,1.5,9.3,16093.4,3.29735605465917
"2004-11-09 20:00:00",2004,11,9,20,0,290,10.3,1.5,16093.4,0.327261836168005
"2004-11-09 21:00:00",2004,11,9,21,0,50,8.8,10.3,16093.4,3.25412612393388
"2004-11-09 22:00:00",2004,11,9,22,0,360,2.6,8.8,16093.4,3.249128796617
"2004-11-09 23:00:00",2004,11,9,23,0,360,4.1,2.6,16093.4,0.328108376629483
"2004-11-10",2004,11,10,0,0,230,2.1,4.1,16093.4,0.633543751756353
"2004-11-10 01:00:00",2004,11,10,1,0,20,4.1,2.1,16093.4,0.271083545039834
"2004-11-10 02:00:00",2004,11,10,2,0,320,8.2,4.1,16093.4,0.650610095849949
"2004-11-10 03:00:00",2004,11,10,3,0,290,3.6,8.2,16093.4,1.93310904300168
"2004-11-10 04:00:00",2004,11,10,4,0,350,3.6,3.6,16093.4,0.607912055763422
"2004-11-10 05:00:00",2004,11,10,5,0,40,5.7,3.6,16093.4,0.68699126397791
"2004-11-10 06:00:00",2004,11,10,6,0,250,1.5,5.7,16093.4,1.95361215654735
"2004-11-10 07:00:00",2004,11,10,7,0,10,4.6,1.5,16093.4,0.325219824221369
"2004-11-10 08:00:00",2004,11,10,8,0,70,4.6,4.6,16093.4,0.675380321861474
"2004-11-10 09:00:00",2004,11,10,9,0,130,0.5,4.6,16093.4,0.661600918412475
"2004-11-10 10:00:00",2004,11,10,10,0,280,9.3,0.5,16093.4,0.368333342868342
"2004-11-10 11:00:00",2004,11,10,11,0,170,3.1,9.3,16093.4,3.32758483588583
"2004-11-10 12:00:00",2004,11,10,12,0,20,3.1,3.1,16093.4,0.381768123195398
"2004-11-10 13:00:00",2004,11,10,13,0,50,4.6,3.1,16093.4,0.340790871165298
"2004-11-10 14:00:00",2004,11,10,14,0,330,8.8,4.6,16093.4,0.677579597251434
"2004-11-10 15:00:00",2004,11,10,15,0,10,2.1,8.8,16093.4,3.26523058359966
"2004-11-10 16:00:00",2004,11,10,16,0,350,4.1,2.1,16093.4,0.327090452865167
"2004-11-10 17:00:00",2004,11,10,17,0,190,12.9,4.1,16093.4,0.650579641985563
"2004-11-10 18:00:00",2004,11,10,18,0,240,1.5,12.9,16093.4,3.27394363194799
"2004-11-10 19:00:00",2004,11,10,19,0,260,2.1,1.5,16093.4,0.329445799111008
"2004-11-10 20:00:00",2004,11,10,20,0,60,4.1,2.1,16093.4,0.316395963881436
"2004-11-10 21:00:00",2004,11,10,21,0,320,11.3,4.1,16093.4,0.683305203958973
"2004-11-10 22:00:00",2004,11,10,22,0,320,4.6,11.3,16093.4,3.31142274832835
"2004-11-10 23:00:00",2004,11,10,23,0,240,5.1,4.6,16093.4,0.637060769936347
"2004-11-11",2004,11,11,0,0,350,6.2,5.1,16093.4,0.629389322745592
"2004-11-11 01:00:00",2004,11,11,1,0,110,12.9,6.2,16093.4,1.97940535110341
"2004-11-11 02:00:00",2004,11,11,2,0,100,8.8,12.9,16093.4,3.24872746484581
"2004-11-11 03:00:00",2004,11,11,3,0,120,9.3,8.8,16093.4,3.2562631709274
"2004-11-11 04:00:00",2004,11,11,4,0,340,6.2,9.3,16093.4,3.28991111812108
"2004-11-11 05:00:00",2004,11,11,5,0,360,17,6.2,16093.4,1.9695758941777
"2004-11-11 06:00:00",2004,11,11,6,0,270,3.1,17,16093.4,3.25337837937679
"2004-11-11 07:00:00",2004,11,11,7,0,310,5.1,3.1,16093.4,0.379708134976497
"2004-11-11 08:00:00",2004,11,11,8,0,60,6.7,5.1,16093.4,0.632131300405401
"2004-11-11 09:00:00",2004,11,11,9,0,150,1,6.7,16093.4,2.01034160812783
"2004-11-11 10:00:00",2004,11,11,10,0,30,2.1,1,16093.4,0.24619619793741
"2004-11-11 11:00:00",2004,11,11,11,0,340,2.1,2.1,16093.4,0.341606372439208
"2004-11-11 12:00:00",2004,11,11,12,0,360,3.1,2.1,16093.4,0.313077238589802
"2004-11-11 13:00:00",2004,11,11,13,0,350,11.3,3.1,16093.4,0.324971953738613
"2004-11-11 14:00:00",2004,11,11,14,0,10,7.7,11.3,16093.4,3.2975449080242
"2004-11-11 15:00:00",2004,11,11,15,0,320,6.7,7.7,16093.4,2.03204781085158
"2004-11-11 16:00:00",2004,11,11,16,0,330,4.6,6.7,16093.4,2.00724210065684
"2004-11-11 17:00:00",2004,11,11,17,0,320,7.7,4.6,16093.4,0.655051017887393
"2004-11-11 18:00:00",2004,11,11,18,0,30,10.3,7.7,16093.4,1.96015435915429
"2004-11-11 19:00:00",2004,11,11,19,0,70,8.2,10.3,16093.4,3.28317163560364
"2004-11-11 20:00:00",2004,11,11,20,0,10,4.1,8.2,16093.4,2.01001933483002
"2004-11-11 21:00:00",2004,11,11,21,0,220,4.1,4.1,16093.4,0.68282005876399
"2004-11-11 22:00:00",2004,11,11,22,0,130,12.4,4.1,16093.4,0.644916844692055
"2004-11-11 23:00:00",2004,11,11,23,0,270,8.2,12.4,16093.4,3.26264311345273
"2004-11-12",2004,11,12,0,0,320,4.6,8.2,16093.4,1.94160203903437
"2004-11-12 01:00:00",2004,11,12,1,0,360,6.7,4.6,16093.4,0.640714577856782
"2004-11-12 02:00:00",2004,11,12,2,0,320,4.6,6.7,16093.4,1.92102037037749
"2004-11-12 03:00:00",2004,11,12,3,0,50,4.1,4.6,16093.4,0.67754382122484
"2004-11-12 04:00:00",2004,11,12,4,0,100,4.1,4.1,16093.4,0.608293509353831
"2004-11-12 05:00:00",2004,11,12,5,0,320,10.8,4.1,16093.4,0.650194912962869
"2004-11-12 06:00:00",2004,11,12,6,0,350,8.2,10.8,16093.4,3.26215446182064
"2004-11-12 07:00:00",2004,11,12,7,0,10,9.8,8.2,16093.4,1.93074878186393
"2004-11-12 08:00:00",2004,11,12,8,0,230,3.1,9.8,16093.4,3.26032445037395
"2004-11-12 09:00:00",2004,11,12,9,0,10,4.1,3.1,16093.4,0.278193985254657
"2004-11-12 10:00:00",2004,11,12,10,0,320,4.6,4.1,16093.4,0.655573187624344
"2004-11-12 11:00:00",2004,11,12,11,0,320,4.6,4.6,16093.4,0.642974883383827
"2004-11-12 12:00:00",2004,11,12,12,0,340,1.5,4.6,16093.4,0.650001937484227
"2004-11-12 13:00:00",2004,11,12,13,0,180,8.8,1.5,16093.4,0.304935666101173
"2004-11-12 14:00:00",2004,11,12,14,0,250,1.5,8.8,16093.4,3.27890573757116
"2004-11-12 15:00:00",2004,11,12,15,0,180,8.8,1.5,16093.4,0.353364595824397
"2004-11-12 16:00:00",2004,11,12,16,0,360,1,8.8,16093.4,3.29873555465336
"2004-11-12 17:00:00",2004,11,12,17,0,300,6.7,1,16093.4,0.391473266183824
"2004-11-12 18:00:00",2004,11,12,18,0,240,5.1,6.7,16093.4,1.94250313069802
"2004-11-12 19:00:00",2004,11,12,19,0,350,5.7,5.1,16093.4,0.700055076120856
"2004-11-12 20:00:00",2004,11,12,20,0,150,4.1,5.7,16093.4,1.9688806648205
"2004-11-12 21:00:00",2004,11,12,21,0,90,4.1,4.1,16093.4,0.605879970106807
"2004-11-12 22:00:00",2004,11,12,22,0,120,14.9,4.1,16093.4,0.661529782551042
"2004-11-12 23:00:00",2004,11,12,23,0,50,5.1,14.9,16093.4,3.28495425722887
"2004-11-13",2004,11,13,0,0,340,8.2,5.1,16093.4,0.667237668062331
"2004-11-13 01:00:00",2004,11,13,1,0,0,0.25,8.2,16093.4,1.95505811903326
"2004-11-13 02:00:00",2004,11,13,2,0,320,8.2,0.25,16093.4,0.345312030506897
